product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
amz_0003,boAt Rockerz 255 Pro+ Bluetooth Neckband,Electronics|Audio|Headphones,"₹1,299","₹1,999",35%,4.10,"32,210"
amz_0101,boAt True Wireless Earbuds D22G,Electronics|Audio|Headphones,"₹1,740","₹6,930",75%,3.70,331
amz_0102,Realme Gaming Headset N93X,Electronics|Audio|Headphones,"₹1,590","₹4,680",66%,3.80,"31,692"
amz_0103,boAt Gaming Headset H13X,Electronics|Audio|Headphones,1340,1600,16,3.60,32732
amz_0104,Noise Bluetooth Earbuds N70U,Electronics|Audio|Headphones,1210,1530,21,4,28509
amz_0105,pTron Over-Ear Headphones N25S,Electronics|Audio|Headphones,"₹1,450","₹5,610",74%,4,"37,577"
amz_0106,JBL Wireless Headphones P23X,Electronics|Audio|Headphones,1050,1250,16,4.20,12657
amz_0107,JBL True Wireless Earbuds N91L,Electronics|Audio|Headphones,1090,1420,23,3.90,36269
amz_0108,boAt Neckband Earphones D78X,Electronics|Audio|Headphones,1340,1560,14,3.70,22696
amz_0109,Noise Gaming Headset P41L,Electronics|Audio|Headphones,1230,1600,23,4.20,3510
amz_0110,Realme Gaming Headset E20G,Electronics|Audio|Headphones,1830,7250,75,3.80,38718
amz_0111,Realme Wireless Headphones H57U,Electronics|Audio|Headphones,1640,6420,74,3.70,8133
amz_0112,pTron Gaming Headset T51G,Electronics|Audio|Headphones,1030,1300,21,4.20,39592
amz_0004,Samsung 43 inch Crystal 4K UHD Smart TV,Electronics|Televisions|SmartTVs,32999,47900,31,4.30,11200
amz_0113,OnePlus 50 inch 4K UHD Smart TV D22G,Electronics|Televisions|SmartTVs,24110,30970,22,4.20,11150
amz_0114,Sony 32 inch HD Ready LED TV M93U,Electronics|Televisions|SmartTVs,26090,30490,14,4,683
amz_0115,OnePlus 40 inch Android TV B46G,Electronics|Televisions|SmartTVs,23070,31000,26,4.20,7832
amz_0116,LG 50 inch 4K UHD Smart TV A66S,Electronics|Televisions|SmartTVs,33480,150580,78,4.20,7565
amz_0117,Acer 50 inch 4K UHD Smart TV R51L,Electronics|Televisions|SmartTVs,22630,31250,28,4.40,3901
amz_0118,TCL 40 inch Android TV Z51U,Electronics|Televisions|SmartTVs,35470,168780,79,4.20,8984
